STT,Tên doanh nghiệp,Tên viết tắt,Loại hình doanh nghiệp,Lĩnh vực hoạt động,Vốn điều lệ (VND),Website,Điện thoại,Fax,Địa chỉ trụ sở,Tên người đại diện theo pháp luật,Đơn vị XHTN gần nhất,Kết quả XHTN gần nhất,Ngày hiệu lực
715,SVNC - Công ty Cổ phần Kinh doanh Bất động sản S - Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản S-Việt Nam,Công ty cổ phần,Bất động sản,1000000000000.0,Không có,0942828819,0942828819,"Tầng 9, Tòa nhà Sunshine Center, 16 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, TP.Hà Nội, Việt Nam",Ngô Duy Đông,,,
716,SZC - Công ty Cổ phần Sonadezi Châu Đức,SZC,Công ty cổ phần,Bất động sản,1799858630000.0,www.sonadezichauduc.com.vn,(+84) 251 8860788,(+84) 251 8860783,"Tầng 9, cao ốc Sonadezi , Số 1, Đường số 1, Khu công nghiệp Biên Hòa 1, Phường An Bình, Thành Phố Biên Hòa, Tỉnh Đồng Nai.",Nguyễn Văn Tuấn,,,
717,TAAC - Công ty cổ phần Phát triển Khu đô thị Tân An,Tân An,Công ty cổ phần,Bất động sản,1069000000000.0,,0868665089,0,"160 Tỉnh lộ 827, khu phố Bình An 1, Phường Tân An, Tỉnh Tây Ninh, Việt Nam",,,,
718,TALC - Công ty Cổ phần Đầu tư Bất động sản Taseco,TALC,Công ty cổ phần,Bất động sản,3600000000000.0,www.tasecoland.vn,02437932525,02437932626,"Tầng 1 Tòa nhà NO2 – T1 Khu đoàn ngoại giao, đường Xuân tảo, phường Xuân Tảo, quận Bắc Từ Liêm, Hà Nội",Nguyễn Trần Tùng,,,
719,TASC - CTCP TẬP ĐOÀN TASECO (tên cũ: CTCP DỊCH VỤ HÀNG KHÔNG THĂNG LONG ),TASECO GROUP,Công ty cổ phần,Bất động sản,1512000000000.0,https://taseco.vn,02437675168,02437675169,"TẦNG 1, TÒA NHÀ N02-T1, KHU ĐOÀN NGOẠI GIAO, ĐƯỜNG XUÂN TẢO, PHƯỜNG XUÂN ĐỈNH, THÀNH PHỐ HÀ NỘI",Nguyễn Minh Hải; Nguyễn Minh Hải; Nguyễn Minh Hải; Nguyễn Minh Hải,,,
720,TATC - CÔNG TY TNHH LIÊN DOANH ĐẦU TƯ XÂY DỰNG TAM TRINH,"TAM TRINH CO.,LTD",Công ty trách nhiệm hữu hạn,Lĩnh vực khác,1010456000000.0,không có,0984695947,0,"Số 411 đường Nguyễn Tam Trinh, Phường Hoàng Mai, Thành phố Hà Nội",LƯU DUY HƯNG,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB-,21/11/2025
721,TAUC - Công ty cổ phần Tasco Auto,Tasco Auto,Công ty cổ phần,Lĩnh vực khác,5438800000000.0,https://tascoauto.com/,0936131633,0,"Tầng 20 Tòa nhà Tasco, Lô HH2-2, đường Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội",Phan Thị Thu Thảo,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),BBB+,21/10/2025
722,TBGC - CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ TÂY BẮC,TAY BAC INVEST GROUP,Công ty cổ phần,Bất động sản,1600000000000.0,https://taybac.vn/,024 7300 7979,02473087666,"Lô 51-52-53-54 Dãy E TT4 KĐT Thành phố Giao Lưu, Phường Phú Diễn, Thành phố Hà Nội, Việt Nam",,,,
723,TBIC - CÔNG TY CỔ PHẦN ĐẦU TƯ TIỀN PHONG THÁI BÌNH,Không có.,Công ty cổ phần,Bất động sản,1215000000000.0,Không có.,0904 898 839,0,"Số nhà 2/7 ngõ 68 đường Trần Lãm, Tổ dân phố 6, Phường Trần Lãm, Tỉnh Hưng Yên, Việt Nam",,,,
724,TBLC - CTCP Kinh doanh Bất động sản Thái Bình,THAI BINH REAL ESTATE TRADING JSC,Công ty cổ phần,Bất động sản,750000000000.0,0,0965762531,0,"65 Nguyễn Du, Phường Sài Gòn, TP Hồ Chí Minh",Ngô Hồng Hải; Trần Ngọc Đại,,,
725,TBPC - Công ty Cổ phần TBPC Hà Nội,"TBC Ha Noi.,JSC",Công ty cổ phần,Bất động sản,40000000000.0,không có,0944424286,0944424286,"Tầng 25 tòa nhà Icon4, số 243A Đê La Thành, Phường Láng Thượng, Quận Đống Đa, TP.Hà Nội",Nguyễn Kiều Tiên,,,
726,TBSC - CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI TRUNG NAM,TNSP,Công ty cổ phần,Sản xuất,1000000000000.0,tnsp.vn,02596539639,02596539639,"Thôn Ba Tháp, Xã Thuận Bắc, Tỉnh Khánh Hòa, Việt Nam",NGUYỄN TÂM THỊNH; NGUYỄN TÂM THỊNH,,,
727,TCB - Ngân hàng TMCP Kỹ thương Việt Nam,TECHCOMBANK,Công ty cổ phần,Tổ chức tín dụng,70648517390000.0,www.techcombank.com.vn,02439446368,02439446362,"Số 6 Quang Trung, Phường Cửa Nam,Thành phố Hà Nội.",,Công ty cổ phần FiinRatings (FiinRatings),AA-,24/12/2024
728,TCCC - Công ty TNHH xây dựng và Đầu tư Dịch vụ Thương mại Thành Công,"THATACO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,300000000000.0,Chưa có,02439393691,02439393693,"SỐ 1C PHỐ TRÀNG TIỀN, PHƯỜNG TRÀNG TIỀN, QUẬN HOÀN KIẾM, HÀ NỘI",Quách Minh Cường,,,
729,TCD - CTCP TẬP ĐOÀN XÂY DỰNG TRACODI ( TÊN CŨ: CTCP ĐẦU TƯ PHÁT TRIỂN CÔNG NGHIỆP VÀ VẬN TẢI),TRACODI,Công ty cổ phần,Xây dựng,3358206410000.0,https://www.tracodi.com.vn,084838330314,084838330317,"89 Cách Mạng Tháng Tám, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",BÙI THIỆN PHƯƠNG ĐÔNG; BÙI THIỆN PHƯƠNG ĐÔNG; LÊ HUỲNH THƯƠNG MINH; NGUYỄN HOÀNG HIỂU; NGUYỄN THANH HÙNG; PHẠM ĐĂNG KHOA; TRẦN NGUYÊN HUÂN,,,
730,TCH - CTCP Đầu tư dịch vụ Tài chính Hoàng Huy,Tai chinh Hoang Huy,Công ty cổ phần,Bất động sản,6682158430000.0,hoanghuy.vn,02253610021,02253955322,"số 116 Nguyễn Đức Cảnh, P. Cát Dài, Q. Lê Chân, TP Hải Phòng",,,,
731,TCHC - CÔNG TY CỔ PHẦN JANUS GROUP (Tên cũ: Công ty Cổ phần TCO Holdings),JANUS GROUP (Tên cũ: TCO HOLDINGS),Công ty cổ phần,Lĩnh vực khác,313206220000.0,https://tcoholdings.vn/vn,0768064686,0,"Lầu 10, Vietcombank Tower, Số 5 Công Trường Mê Linh, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,,,
732,TCI - Công ty cổ phần chứng khoán Thành Công,TCSC,Công ty cổ phần,Kinh doanh chứng khoán,1156209640000.0,www.tcsc.vn,02838270527,02838218010,"Lầu 2, số 6 Hồ Tùng Mậu, Phường Sài Gòn, Thành Phố Hồ Chí Minh",Nguyễn Khánh Linh,,,
733,TCJC - CTCP Đầu tư xây dựng Thành Công Vĩnh Phúc,THANH CONG VINH PHUC CONSTRUCTION INVESTMENT JOINT STOCK COM,Công ty cổ phần,Bất động sản,110000000000.0,Không có,0983362095,0,"Khu nhà ở đô thị khu vực Đồi Hai Đai, xã Định Trung, TP Vĩnh Yên, Tỉnh Vĩnh Phúc",,,,
734,TCOC - CTCP TẬP ĐOÀN TRƯỜNG HẢI,TRUONG HAI GROUP,Công ty cổ phần,Sản xuất,30510000000000.0,thacogroup.vn,0251 3891 726,0251 3836 621,"TSC: SỐ 19, KCN BIÊN HÒA 2, ĐƯỜNG 2A, PHƯỜNG TRẤN BIÊN, TỈNH ĐỒNG NAI. Nhận thư: Số 10 Mai Chí Thọ, Tp Thủ Đức, Tp HCM",Trần Bá Dương,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),A-,24/12/2025
735,TCXC - CTCP chứng khoán Kỹ thương,Techcom Securities,Công ty cổ phần,Kinh doanh chứng khoán,23113080210000.0,tcbs.com.vn,024 39446368,024 3944 6583,"Tầng 27, 28 và tầng 29 Tòa nhà Techcombank, 119 Trần Duy Hưng, Phường Yên Hòa, Hà Nội",Nguyễn Xuân Minh,Công ty cổ phần FiinRatings (FiinRatings),AA-,04/06/2025
736,TD1C - Công ty cổ phần Điện gió Trung Nam Đắk Lắk 1,TNDKL 1 WP,Công ty cổ phần,Xây dựng,5143000000000.0,trungnamgroup.com.vn,0913436918,0,"Buôn Druh A, xã Ea Khăl, Tỉnh Đắk Lắk",Vũ Đình Tân,,,
737,TDC - CTCP KINH DOANH VÀ PHÁT TRIỂN BÌNH DƯƠNG,TDC,Công ty cổ phần,Bất động sản,1272280000000.0,becamextdc.com.vn,02742220666,02742220678,"SỐ 26-27, LÔ I, ĐƯỜNG ĐỒNG KHỞI, PHƯỜNG BÌNH DƯƠNG, TP.HỒ CHÍ MINH",,,,
738,TDCC - CTCP Tập đoàn Tân Thành Đô,NEW CITY GROUP JSC,Công ty cổ phần,"Thương mại, dịch vụ",920200000000.0,newcitygroup.vn,35120473,35120475,"232 Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Tp. Hồ Chí Minh",Phạm Anh Hưng,,,
739,TDDC - Công ty TNHH Bất Động Sản Thành Đông Đô,TĐĐ,Công ty trách nhiệm hữu hạn,Bất động sản,165000000000.0,www.thanhdongdo.com,0913391678,0913391678,"Số 64A Mậu Thân, Phường An Nghiệp, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam",VÕ THỊ BÍCH LAN,,,
740,TDEC - Công ty CP Đầu tư và Thương mại Xuất nhập khẩu Thủ Đô,"Thu DO IMTRA.,JSC",Công ty cổ phần,Lĩnh vực khác,20000000000.0,https://www.xnkthudo.com/,(024) 32 272 378,(024) 32 272 378,"Tầng 7, toà nhà Việt Á, số 9 phố Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội",,,,
741,TDG - Công ty Cổ phần Đầu tư TDG Global,TDG,Công ty cổ phần,Lĩnh vực khác,242111900000.0,www.thaiduongpetrol.vn,2042244 903,02043661311,"Lô D1, KCN Đình Trám, Phường Nếnh, tỉnh Bắc Ninh",,,,
742,TDGC - Công ty TNHH Thương mại Dịch vụ Tech Dragon,TECH DRAGON CO LTD,Công ty trách nhiệm hữu hạn,Bất động sản,708100000000.0,000000000000000000,0938485358,0938485358,"Tầng 24, Tòa nhà Cao ốc văn phòng tại số 152 Điện Biên Phủ, Phường 25, quận Bình Thạnh, Thành phố Hồ Chí Minh",Phan Văn Định; Điền Việt Tuấn; Điền Việt Tuấn,,,
743,TDHC - CT TNHH DỊCH VỤ KHÁCH SẠN THÙY DƯƠNG VIỆT NAM,"THUY DUONG HOTEL CO.,LTD",Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",700000000000.0,https://conasi.vn/,0938669538,+84 287 1077 288,"ĐƯỜNG HẦM KHU VỰC KHÁN ĐÀI A, SÂN VẬN ĐỘNG QUỐC GIA MỸ ĐÌNH, P. MỸ ĐÌNH 1, Q. NAM TỪ LIÊM, TP. HÀ NỘI",TRỊNH AN TIẾN,,,
744,TDIC - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRAINCO,TRAINCO INVEST JSC,Công ty cổ phần,Bất động sản,50000000000.0,www.traincoinvest.com.vn,0969506789,028 6283 8666,"Tòa nhà D5-D6, Trung tâm quản lý KTX Đại học quốc gia, khu B, Khu phố Tân Hòa, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương",Nguyễn Đức Hải,,,
745,TDLC - CÔNG TY CỔ PHẦN TANDOLAND,TDLC,Công ty cổ phần,Bất động sản,2850000000000.0,tandogroup.com,0376038038,02723779228,"LÔ A1, ĐƯỜNG SỐ 1, KHU CÔNG NGHIỆP TÂN ĐÔ, XÃ ĐỨC HÒA, TỈNH TÂY NINH, VIỆT NAM",NGUYỄN THÁI BÌNH,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnB+,14/04/2026
746,TDNC - Công ty Cổ Phần Trung Thủy - Đà Nẵng,TDNC,Công ty cổ phần,Bất động sản,735000000000.0,https://trungthuy.com/,0934862609,0934862609,"Cầu số 6, đường Tránh Nam Hải Vân, phường Hòa Hiệp Bắc, Quận Liên Chiểu, Thành phố Đà Nẵng, Việt Nam",Nguyễn Văn Trung; Nguyễn Văn Trung,,,
747,TDP - Công ty cổ phần Thuận Đức,Thuận Đức JSC,Công ty cổ phần,Sản xuất,882222500000.0,www.thuanducjsc.vn,02213810705,02213810706,"Thôn Bằng Ngang, thị trấn Lương Bằng, huyện Kim Động, tình Hưng Yên",,,,
748,TENC - Công ty cổ phần Dược phẩm Tenamyd,TENC,Công ty cổ phần,Lĩnh vực khác,180000000000.0,https://tenamydpharma.com,028 3770 0707,028 3770 0808,"Lô Y.01-02A Đường Tân Thuận, Khu công nghiệp/Khu chế xuất Tân Thuận, Phường Tân Thuận Đông, Quận 7, Tp. Hồ Chí Minh",,,,
749,TGCC - Công ty cổ phần vui chơi giải trí tổng hợp Tam Giang,TGC,Công ty cổ phần,Bất động sản,639000000000.0,Chưa có,02343825716,02343825716,"45 Lê Lợi, Phường Phú Hội, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN THỊ PHƯƠNG LAN; Đinh Mạnh Thắng,,,
750,TGEC - Công ty cổ phần Thiết bị điện GELEX,GELEX-ELECTRIC,Công ty cổ phần,Lĩnh vực khác,3000000000000.0,www.gelex-elecetric.com,02473012344,02436331510,"Số 52 phố Lê Đại Hành, phường Lê Đại Hành, quận Hai Bà Trưng, TP. Hà Nội",Nguyễn Trọng Trung,,,
751,TGNC - Công ty TNHH Viễn Thông Trịnh Gia Nguyễn,TRINH GIA NGUYEN,Công ty trách nhiệm hữu hạn,Lĩnh vực khác,400000000000.0,trinhgianguyen.ltd@gmail.com,0384759060,0384759060,"TẦNG 5, TÒA NHÀ LOTUS SỐ 2 PHỐ DUY TÂN, PHƯỜNG DỊCH VỌNG HẬU, QUẬN CẦU GIẤY, TP. HÀ NỘI",,,,
752,TGPC - Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Tân Gia Phát,NOVA TAN GIA PHAT (HNX),Công ty trách nhiệm hữu hạn,Bất động sản,212000000000.0,không có,0289665121,0,"65 Nguyễn Du, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh",Lê Thị Hồng Xuân,,,
753,TGXC - CTCP TỔNG HỢP THẾ GIỚI XANH,GENERAL GREEN WORLD JSC,Công ty cổ phần,Lĩnh vực khác,1010000000000.0,,0938898188,0938898188,"47 NGUYỄN CỬU VÂN, PHƯỜNG 17, QUẬN BÌNH THẠNH, TP HỒ CHÍ MINH",,,,
754,THBC - CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THIÊN HÀ- BĂNG DƯƠNG,THIEN HA - BANG DUONG CO.LTD,Công ty trách nhiệm hữu hạn,Bất động sản,1230000000000.0,thienhabangduong.com,02743773650,02743773651,"Số 90 đường Cây Da Xề, Khu phố Tây B, phường Đông Hòa, thành phố Dĩ An, tỉnh Bình Dương, Việt Nam",Vương Thị Diễm Trang,Công ty cổ phần FiinRatings (FiinRatings),B,27/06/2024
755,THDC - CTCP thép Hòa Phát Hải Dương,HOA PHAT HAI DUONG STEEL JSC,Công ty cổ phần,Sản xuất,7000000000000.0,hoaphat.com.vn,02203534578,02203534577,"Khu dân cư Hiệp Thượng, phường Hiệp Sơn, thị xã Kinh Môn, Hải Dương",Nguyễn Việt Thắng; Đỗ Thị Thảo,,,
756,THGC - Công ty Cổ phần Nông nghiệp Trường Hải,THAGRICO,Công ty cổ phần,Sản xuất,15000000000000.0,thacoagri.vn,02353567161,02353567161,"Khu công nghiệp Tam Hiệp, Xã Tam Hiệp, Huyện Núi Thành, Tỉnh Quảng Nam, Việt Nam",Trần Bá Dương,,,
757,THHC - CTCP Thủy điện Thuận Hòa Hà Giang,"THUANHOAHAGIANG.,JSC",Công ty cổ phần,Sản xuất,300000000000.0,www.thuanhoahydropower.com.vn,0967428866,02193810708,"NHÀ A2, KHU HÀ TRUNG,TỔ 8, PHƯỜNG HÀ GIANG 2, TỈNH TUYÊN QUANG",Nguyễn Quang Đạo,,,
758,THI - CTCP THIẾT BỊ ĐIỆN,THIBIDI,Công ty cổ phần,Sản xuất,488000000000.0,www.thibidi.com,02513836609,02513836070,"KCN Biên Hòa 1, Đường số 9, Phường An Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai",Cao Hoàng Phát; Cao Hoàng Phát; Nguyễn Trọng Trung,,,
759,THIC - CTCP Đầu tư Thủy Hòa,THHC,Công ty cổ phần,Bất động sản,240000000000.0,Không có website,0962030486,0,"179 đường Thụy Phương, Phường Thụy Phương, Quận Bắc Từ Liêm, thành phố Hà Nội, Việt Nam",,,,
760,THLC - CÔNG TY TNHH THĂNG LONG,"THANG LONG CO., LTD",Công ty trách nhiệm hữu hạn,Bất động sản,2750000000000.0,,024 37 474 700,0,"Tầng 1, Park 4, Eurowindow River Park, Khu tái định cư Đông Hội, Xã Đông Anh, Thành phố Hà Nội, Việt Nam",Nguyễn Thị Phương Lan,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB,04/05/2026
761,THMC - CTCP MUA BÁN NỢ THẾ HỆ MỚI,THM (HNX),Công ty cổ phần,Lĩnh vực khác,500000000000.0,Không có,0981988998,0,"Tầng 9 tòa nhà Indochina Plaza Hà Nội, 241 Xuân Thủy, Phường Cầu Giấy, Hà Nội",Nguyễn Văn Hạnh,,,
762,THTC - CTCP Xây dựng THT Hà Nội,THT,Công ty cổ phần,Bất động sản,432000000000.0,xaydungtht.contact@gmail.com,02466828859,02466828859,"Lô 18D4 Đường Khuất Duy Tiến, phường Thanh Xuân Bắc, quận Thanh Xuân, thành phố Hà Nội, Việt Nam",Hoàng Minh Kháng,,,
763,THVC - Công ty Cổ phần Toàn Hải Vân,THV,Công ty cổ phần,"Thương mại, dịch vụ",2465000000000.0,ttcphuquoc.vn,(84-297) 3585 888,(84-297) 3567 666,"Tổ 11, khu phố Suối Lớn Dương Tơ, đặc khu Phú Quốc, Tỉnh An Giang, Việt Nam",Nguyễn Thanh Ngữ,,,
764,THYC - Công ty TNHH Hai thành viên Ứng dụng Công nghệ cao Nông nghiệp và Thực phẩm sữa Yên Mỹ,THY,Công ty trách nhiệm hữu hạn,Sản xuất,154162829894.0,https://www.thmilk.vn/,0941691988,023632521222,"Thôn Trung Tâm, Xã Yên Mỹ, Huyện Nông Cống, Tỉnh Thanh Hóa",Lã Minh Nam,,,
765,TIBC - CÔNG TY TNHH ĐÀU TƯ VÀ KINH DOANH BẤT ĐỘNG SẢN THỦ THIÊM,"THU THIEM REAL ESTATE IAB CO., LTD",Công ty trách nhiệm hữu hạn,Lĩnh vực khác,500000000000.0,Không có,02873012999,02873012999,"Khu TM Số S1.A2.01.02, Tầng 01, Tháp S1, Số 23 Phú Thuận, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ngô Thị Oanh,,,
766,TICC - Công ty TNHH MTV Đầu tư TPI,TPI,Công ty trách nhiệm hữu hạn,Bất động sản,847000000000.0,Chưa có,02854046315,028,"Lầu 6, Tòa nhà Riverbank Place, số 3C Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh.",Lê Thị Nương,,,
767,TIKC - CÔNG TY TNHH TI KI,TIKI CORP,Công ty trách nhiệm hữu hạn,Lĩnh vực khác,229876330000.0,tiki.vn,02873058454,0837404486,"Tòa nhà Viettel, số 285 đường cách mạng tháng 8, Phường 12, Quận 10, TP.HCM, Việt Nam",Trần Ngọc Thái Sơn,,,
768,TITC - Công ty Cổ phần Đầu tư sản xuất và Thương mại Tiến Trường,TITC,Công ty cổ phần,Xây dựng,250000000000.0,www.tientruong.com.vn,0983561182,0983561182,"Số 62, ngõ 138, phố Thúy Lĩnh, Phường Lĩnh Nam, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",Lê Hồng Nhung,,,
769,TKBC - Công ty Cổ phần Đầu tư và Công nghệ TokenBay,TOKENBAY JSC,Công ty cổ phần,Lĩnh vực khác,1501000000000.0,Chưa có,0915638890,0915638890,"Tầng 9, Khối C, Tòa nhà Hồ Gươm Plaza, Số 102 Đường Trần Phú, Phường Hà Đông, Thành phố Hà Nội, Việt Nam",,,,
770,TKCC - Công ty Cổ phần Đầu tư Xây dựng Tường Khải,Tuong Khai,Công ty cổ phần,Xây dựng,320000000000.0,congtytuongkhai.com,02822459393,02822459393,"32 Lê Lợi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Tuyết Vân,,,
771,TKLC - Công ty cổ phần Tonkin Land,"TONKIN LAND., JSC",Công ty cổ phần,Bất động sản,320000000000.0,tonkinland.com,024 3933 4433,024 3933 4433,"K3 TT2 - SH12, StarLake Tây Hồ Tây, phường Xuân Đỉnh, Hà Nội",Nguyễn Thị Hoa,,,
772,TKVC - Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,TKV,Công ty trách nhiệm hữu hạn,Sản xuất,35000000000000.0,http://www.vinacomin.vn/,02435180141,02438510724,"Số 3 phố Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy, Thành phố Hà Nội",Đặng Thanh Hải,,,
773,TLAC - Công ty Cổ phần Đầu tư Tân Thành Long An,Tân Thành Long An,Công ty cổ phần,Bất động sản,2025000000000.0,http://tanthanhlongancorp.com,072 222 8567,072 222 8567,"Ấp 2, xã Tân Long, huyện Thủ Thừa, tỉnh Long An",Phạm Nguyễn Bảo Trung,,,
774,TLCC - CÔNG TY TNHH XÂY DỰNG VÀ ĐẦU TƯ BẤT ĐỘNG SẢN THẮNG LỢI,Thắng Lợi,Công ty trách nhiệm hữu hạn,Bất động sản,50000000000.0,tnhhbdsthangloi@gmail.com,0352136289,0352136289,"Số 7, ngách 6, Ngõ 220 Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",Trương Thị Ngọc,,,
775,TLGC - Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,Thalexim,Công ty cổ phần,"Thương mại, dịch vụ",2366000000000.0,thalexim.vn,(0274) 3829534 - 3829535,(0274) 3824112 - 3829533,"Số 63 Yersin, phường Hiệp Thành, thành phố Thủ Dầu Một, tỉnh Bình Dương",Phạm Thị Băng Trang,,,
776,TLOC - CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN TRƯỜNG LỘC,BĐS TRƯỜNG LỘC,Công ty trách nhiệm hữu hạn,Bất động sản,7550000000000.0,truonglocbds.com,02439749350,02439749350,"Dự án Khu đô thị sinh thái Dream City, xã Nghĩa Trụ, huyện Văn Giang, tỉnh Hưng Yên, Việt Nam",Nguyễn Phi Long,,,
777,TLPC - Công ty Cổ phần Nhiệt điện Thăng Long,TLPC,Công ty cổ phần,Sản xuất,3800000000000.0,Thanglongpower.vn,02033 542 808,02033 542 809,"Xã Lê Lợi, thành phố Hạ Long, Quảng Ninh",Nguyễn Văn Anh; Nguyễn Văn Mạnh; Vũ Văn Hậu; Vũ Văn Tiền,,,
778,TLRC - CÔNG TY CỔ PHẦN TIẾP VẬN VÀ BẤT ĐỘNG SẢN TÂN LIÊN PHÁT TÂN CẢNG,TLRC,Công ty cổ phần,Bất động sản,1048148790000.0,,0903863502,0,"28 Nguyễn Quý Cảnh, Khu phố 5, Phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TRẦN THỊ THU HIỀN,,,
779,TMAC - Công ty TNHH Mỹ Anh NT,"MY ANH NT CO., LTD",Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",347410791980.0,000000000000,0583560562,000000000000,"Tầng 05, tòa nhà Nha trang Center, số 20, Trần Phú, P. Lộc Thọ, TP.Nha Trang, tỉnh Khánh Hòa",TRẦN NGỌC NHẬT,,,
780,TMCC - Công ty TNHH Khu đô thị mới Trung Minh,Công ty TNHH Khu đô thị mới Trung Minh,Công ty trách nhiệm hữu hạn,Bất động sản,1536000000000.0,casadelrio.vn,0901797786,0901797786,"Thửa đất số 859 khu đô thị mới Trung Minh, tổ dân phố Trung, phường Hòa Bình, tỉnh Phú Thọ, Việt Nam",Nguyễn Thu Thủy,,,
781,TMDC - CTCP Mua bán nợ Thuận Minh,"TM DEBT TRADING.,JSC",Công ty cổ phần,Lĩnh vực khác,100000000000.0,Không có website,0942659988,0,"Số 88 đường Tân Nhuệ, phường Thụy Phương, quận Bắc Từ Liêm, Hà Nội",Trần Khắc Trường,,,
782,TMGC - Công ty Cổ phần du lịch Thiên Minh,"Thien Minh Travel .,JSC",Công ty cổ phần,Lĩnh vực khác,1383000000000.0,http://tmgroup.vn,02439263148,02439263148,"Tầng 8, số 70-72 Bà Triệu, phường Cửa Nam, Thành phố Hà Nội, Việt Nam",,,,
783,TMS - CTCP TRANSIMEX,TRANSIMEX,Công ty cổ phần,"Thương mại, dịch vụ",1693479540000.0,transimex.com.vn,842822202888,842822202889,"172 (LẦU 9-10) HAI BÀ TRƯNG, PHƯỜNG TÂN ĐỊNH, TP HỒ CHÍ MINH",,,,
784,TMTC - CTCP Đầu tư phát triển BĐS TMT,TMTC,Công ty cổ phần,Bất động sản,360000000000.0,0,02838380303,0,"LẦU 6, TÒA NHÀ RIVERBANK PLACE, SỐ 3C TÔN ĐỨC THẮNG, PHƯỜNG BẾN NGHÉ, QUẬN 1, THÀNH PHỐ HỒ CHÍ MINH, VIỆT NAM",Nguyễn Thế Nhiên,,,
785,TMVC - CTCP ĐẦU TƯ T&M VIỆT NAM,CTCP ĐẦU TƯ T&M VIỆT NAM,Công ty cổ phần,Bất động sản,800000000000.0,www.melinhplaza.biz,02437474700,02437474700,"TTTM VLXD VÀ TTB NỘI THẤT MELINH PLAZA, KM8 ĐƯỜNG CAO TỐC THĂNG LONG - NỘI BÀI, THỊ TRẤN QUANG MINH, HUYỆN MÊ LINH, TP HÀ NỘI",NGUYỄN CẢNH MÃO,,,
786,TN1 - Công ty cổ phần ROX KEY HOLDINGS,ROX KEY,Công ty cổ phần,Lĩnh vực khác,546323480000.0,http://roxkey.vn,02473073099,0,"Tầng 25, Tòa tháp A, 54A Nguyễn Chí Thanh, Phường Láng, Thành phố Hà Nội, Việt Nam",,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnA-,28/11/2024
787,TNAC - Công Ty Cổ Phần Trung Nam,TNA CORP,Công ty cổ phần,Bất động sản,1425000000000.0,trungnamgroup.com.vn,025112224666,025112224666,"Tầng 3, Tòa nhà Indochina Riverside Tower, 74 Bạch Đằng, Phường Hải Châu I, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam",Nguyễn Tâm Thịnh,,,
788,TNCC - Công ty cổ phần Đầu tư Technical,Technical Investment JSC,Công ty cổ phần,Bất động sản,202000000000.0,khong,0938285998,0,"5.07 Khu chung cư kết hợp thương mại, văn phòng Lô X (Sunrise City North), số 27 Nguyễn Hữu Thọ, Phường Tân Hưng, Thành phố Hồ Chí Minh, Việt Nam.",Lê Thị Việt Thu; Lê Thị Việt Thu; NGUYỄN NHƯ XUÂN TRANG; Đỗ Trịnh Tuyết Trinh,,,
